Colling,Context,Components,Tag,labels
प्र-कर्तव्यं,किन्तु राजन्-कर्तव्यं परम-उच्चं मत्वा सः एतत् दुःखं सोढुं,राजन्-कर्तव्यं,T6,Tatpurusha
प्र-कर्तव्यं,तदा तेन युधिष्ठिराय राजन्-कर्तव्यं तथा सुख-प्राप्ति-साधनानि कथितानि,राजन्-कर्तव्यं,T6,Tatpurusha
निर्-उपाया,परम् सा निर्-उपाया आसीत्,निर्-उपाया,Bvp,Bahuvrihi
अष्टन्-दिक्षु,अष्टन्-अक्षरेण सक्तून् च पातयित्वा अष्टन्-दिक्षु च,अष्टन्-दिक्षु,Km,Tatpurusha
विजित-इन्द्रियः,ज्ञान-विज्ञान-तृप्त-आत्मा कूट-स्थः विजित-इन्द्रियः,विजित-इन्द्रियः,Bs6,Bahuvrihi
विजित-इन्द्रियः,यस्य सः ज्ञान-विज्ञान-तृप्त-आत्मा कूट-स्थः न-प्रकम्प्यः भवति इत्यर्थः विजित-इन्द्रियः च,विजित-इन्द्रियः,Bs6,Bahuvrihi
विजित-इन्द्रियः,ज्ञान-विज्ञान-तृप्त-आत्मा कूटस्थः विजित-इन्द्रियः,विजित-इन्द्रियः,Bs3,Bahuvrihi
विकृत-चेष्टौ,तत् श्रुत्वा महत्-राजः अवदत् तव प्राण-अपहाराय कृत-चेष्टम् इमं दुष्टं दण्डयितुम् इच्छामि,कृत-चेष्टम्,Bs3,Bahuvrihi
न-शोच्यान्,न-शोच्यान् अन्वशोचः त्वम् प्रज्ञा-वादान् च भाषसे,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,न-शोच्यान् इत्यादि,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,परम-अर्थतः तु तान् नित्यान् न-शोच्यान् अनुशोचसि अतः मूढः असि इति अभिप्रायः,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,न-शोच्यान् अन्वशोचः त्वं प्रज्ञा-वादान् च भाषसे,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,सर्व-लोक-अनुग्रह-अर्थम् अर्जुनम् निमित्त इ-कृत्य आह भगवान् वासुदेवः न-शोच्यान् गीता इति आदि,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,तत् असत् ज्ञान-कर्म-निष्ठयोः विभाग-वचनात् बुद्धि-द्वय-आश्रययोः न-शोच्यान् गीता इति आदिना भगवता यावत् स्व-धर्मम्,न-शोच्यान्,Tn,Tatpurusha
न-शोच्यान्,भीष्म-द्रोण-आदयः सत्-वृत्त त्वात् परम-अर्थ-स्वरूपेण च नित्यत्वात् तान् न-शोच्यान् अन्वशोचः अनुशोचितवान् असि ते म्रियन्ते अस्मद्-निमित्तम्,न-शोच्यान्,Tn,Tatpurusha
निः-भयस्य,अधुना द्वौ अपि निश्चिन्तौ निर्-भय राकेश बाहू प्रसारयति,निर्-भय,Bvp,Bahuvrihi
निः-भयस्य,साहसिक: आसीत् सोनू अत: निर्-भय: सन् प्रचचाल गुहा-मार्गे,निर्-भय:,Bvp,Bahuvrihi
निः-भयस्य,न मानवाः किन्तु देव-योनय: एव इति निश्चिन्वान: निर्-भय प्रणमतः तान् शुभ-आशीर्भिः अभिवर्धयन् निर्दिष्टम् आसनम्,निर्-भय,Bvp,Bahuvrihi
क्षाम-निवारणम्,क्षाम-निवारणम् कथम् इति न-जानन् रोमपादः नितराम् चिन्ता-आक्रान्तः,क्षाम-निवारणम्,T6,Tatpurusha
क्षीण-कल्मषाः,लभन्ते ब्रह्म-निर्वाणम् ऋषयः क्षीण-कल्मषाः,क्षीण-कल्मषाः,Bs6,Bahuvrihi
क्षीण-कल्मषाः,लभन्ते ब्रह्म-निर्वाणम् मोक्षम् ऋषयः सम्यक् दर्शिनः संन्यासिनः क्षीण-कल्मषाः क्षीण-पापाः निर्-दोषाः छिन्न-द्वैधाः छिन्न-संशयाः यत-आत्मानः संयत-इन्द्रियाः,क्षीण-कल्मषाः,Bs6,Bahuvrihi
भिक्षा-जीविन,तव पूर्वजाः तु न-शिक्षिता: भिक्षा-जीविन: एव आसन्,भिक्षा-जीविन:,Bs6,Bahuvrihi
मनुज-तापसेन,रावणः-ब्रूहि ब्रूहि किम् कृतम् मनुज-तापसेन,मनुज-तापसेन,K2,Tatpurusha
स-लाजम्,माषम् हरिद्रा-चूर्णम् तु स-लाजम् दधि-सक्तुभिः,स-लाजम्,BvS,Bahuvrihi
स्व-जनेषु,अयं सद्यः एव भवतीं स्व-जनेषु प्रापयिष्यति,स्व-जनेषु,T6,Tatpurusha
नारायणन्-समः,किन्तु लक्ष्मीम् परिणेतुम् संसिद्धः नारायण-स्वरूपः वरः,नारायण-स्वरूपः,T6,Tatpurusha
अभीष्ट-हनने,न-करुणः अयम् विधि: न जाने किम्-अर्थम् कस्यापि अभीष्ट-हनने अकस्मात् एव उपस्थापयति न-तर्कितान् उपप्लवान्,अभीष्ट-हनने,K1,Tatpurusha
मुनि-वेषाः,मुनि-वेषाः स्थिताः सर्वे निहत्य बक-राक्षसम्,मुनि-वेषाः,Bv,Bahuvrihi
उष्ण-तोये,तैलं प्रावृषि न उष्ण-शीते स्नेहं पिबेत् नरः,उष्ण-शीते,Di,Dvandva
स-सर्षपं,स-सर्षपं तुम्बुरु-धान्य-वन्यं चण्डां च चूर्णानि समानि कुर्यात्,स-सर्षपं,BvS,Bahuvrihi
त्रि-विक्रमे,त्रि-विक्रमे च अमृत-मन्थने च,त्रि-विक्रमे,Bs6,Bahuvrihi
शिष्ट-आकृतिः,शङ्ख-आकृतिः तस्याः ग्रीवा अति-मनस्-रमा प्रतिभाति स्म,शङ्ख-आकृतिः,BvU,Bahuvrihi
इन्द्र-आद्यान्,स्नानाय दशन्-कुम्भेषु इन्द्र-आद्यान् लोक-पान् यजेत्,इन्द्र-आद्यान्,Bs6,Bahuvrihi
संश्रय-वासिनाम्,धर्मान् च ब्राह्मण-आदीनां तथा च आश्रम-वासिनाम्,आश्रम-वासिनाम्,U,Tatpurusha
संश्रय-वासिनाम्,अथ सम्राड् आश्रम-वासिनाम् कुशलम् पप्रच्छ,आश्रम-वासिनाम्,T6,Tatpurusha
संश्रय-वासिनाम्,यत् किमपि आश्रम-वासिनाम् आवश्यकम् भविष्यति तत् सर्वम् राज्यत आयास्यति,आश्रम-वासिनाम्,T6,Tatpurusha
आत्म-त्यागी,स्मर आत्म-हत्या मरण-उत्तरम् अपि शान्तिं न प्राप्नोति,आत्म-हत्या,T6,Tatpurusha
पवित्र-मौलिः,विप्र-इन्द्र-पाद-रजसा तु पवित्र-मौलिः,पवित्र-मौलिः,Bs6,Bahuvrihi
त्वत्-अर्थम्,किन्तु कैशोर्यसुलभा श्रद्धा-भावना त्वत्-अर्थम् अभूत्,त्वत्-अर्थम्,T4,Tatpurusha
काल-परीतः,किञ्चित् काल-पर्यन्तम् क्षुधा तु सोढुम् शक्यते किन्तु तृष्णा-संयमनम्,काल-पर्यन्तम्,T6,Tatpurusha
काल-परीतः,कियत् काल-पर्यन्तम् स तत्र एवम् उपविष्ट इति क,काल-पर्यन्तम्,T6,Tatpurusha
छिन्न-स्थूणं,काल-कराल-प्रहारैः तु उत्कट-जिजीविषा अपि छिन्न-मूल इव ध्वस्ता,छिन्न-मूल,Bs6,Bahuvrihi
स्व-भाग्यम्,राज्ञ: समीपे स्व-भाग्यम् निन्दन् सन्तप्तः च अतीव सञ्जात:,स्व-भाग्यम्,T6,Tatpurusha
एक-वस्त्रां,विदर्भान् गत्वा तावत् त्वाम् इमाम् एक-वस्त्र विरम,एक-वस्त्र,K1,Tatpurusha
गाढ-वर्चसः,उन्मत्ताः कृच्छ्र-मूत्राः च गाढ-वर्चसः एव च,गाढ-वर्चसः,Bs6,Bahuvrihi
तत्-प्रपूर्तौ,स्व-योजनाम् अनुचिन्त्य तत्-प्रपूर्तौ भविष्यन्तीम् स्व-ग्राम-समृद्धिम् च अनुमाय माधवसिंह: हर्षेण,तत्-प्रपूर्तौ,T6,Tatpurusha
प्राक्-मुखः,प्राक्-मुखः स्वस्तिकम् बद्ध्वा पद्म-आदि अपरम् एव च,प्राक्-मुखः,Bs6,Bahuvrihi
निर्-ईहं,जडभरत: पुनरपि पूर्ववत् निर्-ईहः निश्चिन्तः च आसीत् कृपाणम् आकृष्य तत्,निर्-ईहः,Bvp,Bahuvrihi
परम-सुन्दरी,तस्य भार्या कनकवती इति परम-सुन्दरी आसीत्,परम-सुन्दरी,K1,Tatpurusha
परम-सुन्दरी,परम-सुन्दरी इति ख्यातिम् प्राप्तवती आसीत् सा,परम-सुन्दरी,K1,Tatpurusha
यान-प्रवेशाय,एक: दधि-पूर्णम् मृत्-भाण्डम् कर-कलितम् शिरसि विधृत्य यान-प्रवेशाय यदा उद्योग-पर: अभवत् तदैव द्वार-शीर्ष-सङ्घट्टेन भग्नाद्,यान-प्रवेशाय,T7,Tatpurusha
वराह-रूपिणं,एवम् पीडा-दानम् अपि वर-रूपेण एव प्रष्टव्यम् आसीत् भवत्या इति क्रुद्धः,वर-रूपेण,T6,Tatpurusha
बुद्Zधि-मोहितः,आम्र-फल-गन्धेन वि-मोहितः राजा न आत्मानम् वशीकर्तुम् अशकत्,वि-मोहितः,Tp,Tatpurusha
स-विद्यानाम्,कः विदेशः स-विद्यानाम् कः परः प्रिय-वादिनाम्,स-विद्यानाम्,BvS,Bahuvrihi
अ-सकृत्,व्यवहितेन संबन्धः भूयः पुनः पूर्वेषु सर्वेषु अध्यायेषु न-सकृत् उक्तम् अपि प्रवक्ष्यामि,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,इत्यादि न-सकृत् उपपादितम् गीतासु एव तावत्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,सर्व-गुह्यतमम् सर्वेभ्यः गुह्येभ्यः अत्यन्त-गुह्यतमम् अत्यन्त-रहस्यम् उक्तम् अपि न-सकृत् भूयः पुनः शृणु मे मम परमम्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,संसर्गः सह पुंश्चलीभिः न-सकृत् वृत्तेः निजायाः क्षतिः,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,एव अयम् राकेश:-यस्य नाम पितुः मुखात् मया न-सकृत् श्रुतम्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,न-सकृत् तया विनम्रता-पूर्वकम् गिरीश: प्रतिबोधित: पाणिनीय-व्याकरणान् अनुरूपम्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,ते तु न-सकृत् अमुम् प्रत्यबोधयन् सखे गिरीश तपोवनस्य ऋषि-कुलस्य,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,तर्हि किम् अत्र स्थितेन शृणु शृणु-रेवति इति न-सकृत् संबोधिता अपि सा न ऐक्षत परावृत्य,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,मया तु न-सकृत् अयम् प्र-शंसितः अभूत् पद्यम् इदम् एतस्य,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,जननीम् जनकम् च अपि स-रोषम् संतर्ज्य वर-अन्वेषणे न-सकृत् चेष्टमानः अपि न अवाप साफल्यम्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,चिरम् अनुध्यायन् कृतकम् मन्ये भयम् योषिताम् इति न-सकृत् आवर्तयन् कथञ्चित् निशाम् व्यनैषीत्,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,एतादृश दुष्ट-आत्मन अधिकृत्य पितामह न-सकृत् अभाषत इति स्मरन्त्या कोटर-स्थितायाः तस्या श्रुति-पथे,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,तदेतत् उक्त-प्रति-वचनम् अपि न-सकृत् अत्यन्त-विपरीत-दर्शन-भावित तया मोमुह्यमानः लोकः श्रुतम् अपि,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,न-सकृत् अत्यन्त-विपरीत-दर्शन-भावित तया मोमुह्यमानः लोकः श्रुतम् अपि न-सकृत् तत्त्वम् विस्मृत्य विस्मृत्य मिथ्या-प्रसङ्गम् अवतार्य अवतार्य,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,शनै: शनै: सख्यम् उपपन्नम् वर्ष-द्वयम् न-सकृत् आवाम् विविधेषु स्थलेषु विविधेषु समयेषु च,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,मया अवगतम् किन्तु भीतेन आशङ्कितेन च मया न-सकृत् परम-ईश्वर: प्रार्थितः यत् मा कश्चन मम,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,अहम् स्वयम् एव अन्तिम-प्रूफ-संशोधनम् विधास्ये इति केशवप्रसादम् न-सकृत् उक्त्वा अपि असौ न प्रूफ-मातृकाम् एतावत,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,एकः तत्-कथा-वैशिष्टयम् विवृण्वन् आह अहो वस्तु-योजना न-सकृत् पठनात् अपि तृप्तिः नैव जायते,न-सकृत्,Tn,Tatpurusha
अ-सकृत्,अवाप्य कारागारे स्वकीयम् हृदय-अ-भिन्नम् मित्रम् शेरसिंहम् साक्षात्कर्तुम् न-सकृत् अगमत्,न-सकृत्,Tn,Tatpurusha
हत-राजानि,सम्मुखीकर्तुम् इच्छन् न-गोचर-शक्ति-सम्पादन-अर्थम् प्रयत्नम् करोति उत अन्यान् महत्-राजान् सर्वान् जित्वा चक्रवर्ती भवितुम् इच्छति यः,महत्-राजान्,K1,Tatpurusha
पञ्च-वर्षस्य,यदा बालः अयम् पञ्च-वर्षस्य सञ्जातः तदा तस्य पितुः निधनम् सञ्जातम्,पञ्च-वर्षस्य,Tdt,Tatpurusha
यथा-विधम्,सुवासिन्यः च यथा-विधम् आरार्त्तिक्यम् विहितवत्य,यथा-विधम्,A1,Avyayibhava
विषण्ण-वदनः,न समागतः चेत् तर्हि म्रिये इत्थम् सः विषण्ण-वदनः सञ्जातः,विषण्ण-वदनः,Bs6,Bahuvrihi
व्यवहार-पटुः,व्यवहार-पटुः अयम् लोकः,व्यवहार-पटुः,T7,Tatpurusha
व्यवहार-पटुः,सदाचार-परायणः वाक्-कुशलः व्यवहार-पटुः च स: स्वीयेन दाक्ष्येन अभूत् प्रियः,व्यवहार-पटुः,T7,Tatpurusha
बहु-श्रुतः,बभ्रुः गूढ इव उर्णाभिः अ-बुद्धिः बहु-श्रुतः,बहु-श्रुतः,Bs3,Bahuvrihi
शङ्?कित-चित्ता,इत्थम् ब्रुवाणे सुधीन्द्रे सर्वे वयम् चकित-चकिता अतिष्ठाम् एति नैसर्गिकम् एव अभूत्,चकित-चकिता,D,Dvandva
शङ्?कित-चित्ता,पाठक-महाभागा: कदाचिद् आकस्मिकेन अनेन घटना-व्यापारेण चकित-चकिता: संजाता: स्युः अतः तस्य रहस्य-निवेदनम् किञ्चिद्,चकित-चकिता:,K3,Tatpurusha
शङ्?कित-चित्ता,सर्वे अपि शिशवः चकित-चकिता एव पाक-कार्यम् दूरतः दृष्टवन्त:,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,कमला इदम् दृष्ट्वा चकित-चकिता अभूत्,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,अन्विष्यमाणा: स्व-रक्षाम् कामयमाना: ईश्वरम् स्वम् इष्ट-देवम् स्मरन्त: चकित-चकिता: सञ्जाता:,चकित-चकिता:,K3,Tatpurusha
शङ्?कित-चित्ता,सर्वे चकित-चकिता आसन्,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,सर्वे चकित-चकिता समतिष्ठन्त तस्मिन् आश्रमे एतादृशम् विचित्रम् सत्कारम्,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,सर्वे अपि तत्रत्या उपस्थिता उग्रवादिन आरक्षिणः च चकित-चकिता बभूवु,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,चकित-चकिता मृगी इव तस्या अक्षिणी घन-घटा इव,चकित-चकिता,K3,Tatpurusha
शङ्?कित-चित्ता,लज्जा-क्रोध-भावम् गोपयन्त्यः चकित-चकिता आसन्,चकित-चकिता,K3,Tatpurusha
विक्रम-बुद्धयः,तावत् पुरुषस्य निर्व्याजेन विक्रमेण मन्दई-भूताः इव मनस्विनाम् विक्रम-बुद्धयः एकः तु मे संशयः किम्-अर्थम् आत्मानम्,विक्रम-बुद्धयः,Bs6,Bahuvrihi
पवित्रित-लोकः,सः एषः नल-राजन्-कुमारः पवित्रित-लोकः देवता-विजय-उत्थ-मन्दहासेन न-उद्विग्न-हृदयेन शान्त-स्वभावः,पवित्रित-लोकः,Bs6,Bahuvrihi
न-वश,न-वश हस्तिन्-स्नानम् इव क्रिया,न-वश,Tn,Tatpurusha
न-वश,शार्दूलसिंह-आयुः क्षयात् नु केनापि न-चिन्त्येन हेतुना जल-औघ-प्रबल-वेग-अभिहतः न-वश: इव स: तुरङ्गमः तस्मिन् एव भयानके,न-वश:,Tn,Tatpurusha
अ-विधवा,अयम् कालः देवीम् उपसर्पितुम् कोटरात् अवरुह्य जयतु अ-विधवा,अ-विधवा,Bsmn,Bahuvrihi
अ-विधवा,अ-विधवा नाम,अ-विधवा,Tn,Tatpurusha
कर्पूरगौर-अभिधानम्,पर-अभिध्यान प्रयुक्तम् च आभिचारकम्,पर-अभिध्यान,T6,Tatpurusha
अस्मत-गृहम्,सर्वम् अपि अस्मत-गृहम् वह्निसात् अभूत्,अस्मत-गृहम्,T6,Tatpurusha
सम-दुःखसुखः,विभव-अनुवशा भार्या सम-दुःखसुखः भवान्,सम-दुःखसुखः,T7,Tatpurusha
अर्ध-चन्द्रम्,आरेभिरे च अर्ध-चन्द्रम् दत्वा बहिः निस्सारयितुम्,अर्ध-चन्द्रम्,K1,Tatpurusha
स-रौक्ष्यम्,ज्येष्ठा आर्या भवति शील-समुदाचारम् अपि विस्मृता असि स-रौक्ष्यम् अवदत् सुखराम:,स-रौक्ष्यम्,BvS,Bahuvrihi
अ-निसृष्टानि,आगमनेन प्रह्लादितस्य हृदयस्य अद्य आवेगः इव संवृत्तः न-इष्टानि निमित्तानि च दृश्यन्ते एवम् अपि इदानीम्,न-इष्टानि,Tn,Tatpurusha
अ-निसृष्टानि,अणिमित्ताणि इदाणिं करअंतस्त रावणस्स अइरेण मरणं भविस्सिदि न-इष्टानि न-अर्हाणि न-निमित्तानि इदानीम् कुर्वतः रावणस्य न-चिरेण,न-इष्टानि,Tn,Tatpurusha
अ-निसृष्टानि,आर्यपुत्र-विरहिता राक्षस-राज-भवनम् आनीता न-इष्टानि न-अर्हाणि यथा-मनोरथ-प्रवृत्तानि वचनानि श्राव्यमाणा जीवामि मन्द-भागा,न-इष्टानि,Tn,Tatpurusha
आत्म-गुणैः,लोकम् उत्-आरुरोह सकलं देव-आलयं तत्-गुणैः,तत्-गुणैः,T6,Tatpurusha
शुक्ल-पुष्पाणि,कर्कर्या पूरयेत् श्वभ्रम् शुक्ल-पुष्पाणि च न्यसेत्,शुक्ल-पुष्पाणि,K1,Tatpurusha
लगुड-आयुधैः,पुनः तत्-शापतः नीताः गो-पालैः लगुड-आयुधैः,लगुड-आयुधैः,Bs6,Bahuvrihi
दिवः-ओकसः,अवतारेषु यत् रूपं तत् अर्चन्ति दिव्-ओकसः,दिव्-ओकसः,Bs6,Bahuvrihi
दिवा-रात्रं,उत्पीठिकां कारयित्वा तद्-उपरि पुस्तकानि प्रसार्य पार्श्वे स्थित्वा दिवा-रात्रं कार्यं करोति स्म सः,दिवा-रात्रं,Di,Dvandva
स-भेषजा,स्नेहाः स्नेह-विधिः कृत्स्न-व्यापत्-सिद्धिः स-भेषजा,स-भेषजा,BvS,Bahuvrihi
कु-चक्रम्,तत्-अर्थम् एतत् सर्वम् कु-चक्रम् नापितेन हरदेवेन प्रवर्तितम्,कु-चक्रम्,Tk,Tatpurusha
न-बोधा,श्वः दिवसे या न-बोधा बालिका आसीद् अद्य सा किशोरी सञ्जाता,न-बोधा,Tn,Tatpurusha
वानर-शावकः,तस्य पञ्जरे आसीत् एकः वानर-शावकः यः म्रियमाणः इव आसीत्,वानर-शावकः,T6,Tatpurusha
वानर-शावकः,शनै: शनैः वानर-शावकः वृद्धिम् गत:,वानर-शावकः,T6,Tatpurusha
वानर-शावकः,कृषकस्य रुग्ण-अवस्थायाम् वानर-शावकः च अयम् गृहस्य अवशिष्टम् कार्यम् अपि,वानर-शावकः,T6,Tatpurusha
वानर-शावकः,एतत् सर्वम् वीक्ष्य वानर-शावकः हर्म्य-पृष्ठम् आरुह्य उच्चैः चीत्-कुर्वन् आस्ते,वानर-शावकः,T6,Tatpurusha
सु-मङ्गली,अहो अहम् महत्-भाग्य वती वत्स यस्य इदृशी सु-मङ्गली वधू,सु-मङ्गली,Tp,Tatpurusha
निर्-आशा,चीटिकायां लिखितम् आसीत् पुत्राः एतद् दृष्ट्वा भवतां निर्-आशा भवति इति मन्ये,निर्-आशा,Bs5,Bahuvrihi
निर्-आशा,अन्यथा निर्-आशा वलयिते मम जीवने किम् अस्ति आशाम्पदम्,निर्-आशा,Bvp,Bahuvrihi
निर्-आशा,एतत् श्रुत्वा जयस्य पत्नी निर्-आशा सती क्षीण-स्वरेण अवदत् राजत्वम् तु भाग्यवशात्,निर्-आशा,BvP,Bahuvrihi
निर्-आशा,अन्यथा निर्-आशा मम जीवने किम् अस्ति आशाम्पदम्,निर्-आशा,Bvp,Bahuvrihi
दुस्-तराम्,महत्-ऊर्मि-मालाम् मनसा अपि दुस्-तराम्,दुस्-तराम्,Bsp,Bahuvrihi
अर्ह-वर्णं,एकदा सायङ्काले भगवति सहस्र-मरीचि-मालिनि अरुण-वर्णं धारयति सति महर्षिः उद्दालकः आश्रमस्य मध्ये,अरुण-वर्णं,K1,Tatpurusha
पाणि-स्वनिकाः,श्रुतिः श्रवण-इन्द्रियम् तत् यस्य तत् श्रुतिमत् लोके प्राणि-निकाये सर्वम् आवृत्य संव्याप्य तिष्ठति स्थितिम् लभते,प्राणि-निकाये,T6,Tatpurusha
मत्-वृक्षेषु,यदि त्वम् मत्-वृक्षेषु स्नेहम् करिष्यसि तर्हि प्रसन्ना अहम् तत्र,मत्-वृक्षेषु,T6,Tatpurusha
अप-वर्णितम्,श्रुत्वा अपि यदा प्रकाशकेन राकेशस्य वेतनम् न परि-वर्धितम् तदा अनेन स्व-परिवारस्य निम्नाम् आर्थिकीम् स्थितिम्,परि-वर्धितम्,Tp,Tatpurusha
चतुर्विंशति-पङ्कजम्,षोडश-अब्जानि अथो वीथी चतुर्विंशति-पङ्कजम्,चतुर्विंशति-पङ्कजम्,Km,Tatpurusha
उप-स्थितानाम्,मधुरेण व्यवहारेण विनयेन च सा शीघ्रम् एव उप-स्थितानाम् सर्वेषाम् मनांसि समाकर्षत्,उप-स्थितानाम्,Tp,Tatpurusha
स्व-मण्डम्,आर्ता महिला स्व-पुत्रम् खादेत् क्षुधा आर्ता भुजगी स्व-मण्डम्,स्व-मण्डम्,Tg,Tatpurusha
सु-वाच्याः,तत् अस्माकम् गीर्वाण-भाषायाम् भगवत्-कृपया परोलक्षा: अनन्ता: सु-मधुरा: सु-वाच्याः च शब्द-राशय: एतत्-अर्थम् विद्यन्ते,सु-वाच्याः,Tp,Tatpurusha
अन्-उत्तमः,कश्चन भागः तेन प्रकाशितः आसीत् सः न-समग्रः न-उत्तमः च आसीत्,न-उत्तमः,Tn,Tatpurusha
स-प्रेम,सा च बालिका मातृ-प्रेम-अमृत-रस-न-अभिज्ञा दम्पतिभ्याम् प्राण-निर्विशेषम् लालिता स-प्रेम संवर्धिता च पौत्री-निर्विशेषम्,स-प्रेम,BvS,Bahuvrihi
स्व-अनुष्ठिताः,श्रेयान् स्व-धर्मः विगुणः पर-धर्मात् सु-अनुष्ठितात्,सु-अनुष्ठितात्,Tp,Tatpurusha
स्व-अनुष्ठिताः,स्व-धर्मः वि-गुणः अपि विगत-गुणः अपि अनुष्ठीयमानः पर-धर्मात् सु-अनुष्ठितात् साद्गुण्येन संपादितात् अपि,सु-अनुष्ठितात्,Tp,Tatpurusha
घोर-आत्मने,न-रूप-बहु-रूपाय व्यापिने परम-आत्मने,परम-आत्मने,Bs6,Bahuvrihi
स-पत्नीकाय,नारदः-स्वस्ति भवते स-पत्नीकाय,स-पत्नीकाय,BvS,Bahuvrihi
एक-अग्रतां,यदा विनियतम् चित्तम् विशेषेण नियतम् संयतम् एक-अग्रताम् आपन्नम् चित्तम् हित्वा बाह्य-अर्थ-चिन्ताम् आत्मनि एव,एक-अग्रताम्,Km,Tatpurusha
कृपाण-हस्तम्,कृपाण-हस्तम् अजा-पालकम् विलोक्य मेषः व्यचारयत् किम् अयम्,कृपाण-हस्तम्,Bs6,Bahuvrihi
दार-निस्पृहः,तदा प्रभृति एव सः दार-निस्पृहः,दार-निस्पृहः,T7,Tatpurusha
अमर-संकाशः,क्षणम् यावत् विचिन्त्य जयन्तेन उक्तम् कश्चन समय-अवकाशः दीयताम्,समय-अवकाशः,T6,Tatpurusha
उत्थान-धीरं,बाढम् पिपासिता: एव सा मूर्तिः चेला-अञ्चल-निष्पीडन-उत्थम् जलम् न-धीरम् अपिबत्,न-धीरम्,Tn,Tatpurusha
निर्-दयं,सः स्वीयं भ्रातृजम् एव उत्थाप्य भूमौ न्यपातयत् निर्-दयं च तम् अपोथयत्,निर्-दयं,Bvp,Bahuvrihi
निर्-दयं,निर्-दयं दारुणैः दण्डैः वराकान् योजयन्ति अपि,निर्-दयं,Bvp,Bahuvrihi
निर्-दयं,सः तं हस्तयोः पादयोः पृष्ठे च अपि निर्-दयं प्रहृतवान्,निर्-दयं,Bvp,Bahuvrihi
राज्य-सेवायाम्,पुत्र-द्वयम् अपि राज्य-सेवायाम् अभूत् इति निश्चिन्तता तेन अनुभूयते स्म,राज्य-सेवायाम्,T6,Tatpurusha
राज्य-सेवायाम्,रामदत्तः राज्य-सेवायाम् अधिकारी वर्तते किन्तु वर्ण-व्यवस्था-अनुसारम् अयम् अन्त्यज:,राज्य-सेवायाम्,T6,Tatpurusha
स-परिच्छदः,साम्प्रतम् आश्रम-संनिकृष्टे भव्ये भवने स-परिच्छदः न्यवात्सीत्,स-परिच्छदः,BvS,Bahuvrihi
गुल्फ-पादेषु,ऊरु-युग्मे तथा जङ्घे गुल्फ-पादेषु च क्रमात्,गुल्फ-पादेषु,Ds,Dvandva
स्व-चरितैः,द्रष्टव्यः अत्र मया गुरुः स्व-चरितैः दोषैः गतः शत्रुताम्,स्व-चरितैः,T3,Tatpurusha
शेष-जीवनम्,बहुधा विचिन्त्य राजा निर्णीतवान् यत् सन्न्यासिनाम् सङ्गे शेष-जीवनम् यापयन् अहम् मुक्ति-मार्गम् अन्विष्यामि इति,शेष-जीवनम्,K1,Tatpurusha
निर्-अर्था,हरि-कथा निर्-अर्था न श्रोतव्या सा निर्-अन्तरम्,निर्-अर्था,Bs5,Bahuvrihi
अङ्गद-आदीन्,अङ्गद-आदीन् अङ्गद-आद्यैः पीत्वा मधुवने मधु,अङ्गद-आदीन्,Bs6,Bahuvrihi
स-क्रन्दम्,मित्र त्वम् इह कुत: आगतः असि इति स-क्रन्दम् व्याहरन् निपपात,स-क्रन्दम्,BvS,Bahuvrihi
लम्ब-कूर्चम्,शोभनम् शोभनम् लम्ब-कूर्चम् स्पृशन् सः अवदत्,लम्ब-कूर्चम्,Bs6,Bahuvrihi
वृद्धि-आदीन्,द्विज-आदीन् अर्च्चयित्वा अथ राजा दशरथः तदा,द्विज-आदीन्,Bs6,Bahuvrihi
वृद्धि-आदीन्,सुमित्राम् प्राप्त-राज्यः अथ द्विज-आदीन् सः अभ्यपूजयत्,द्विज-आदीन्,Bs3,Bahuvrihi
कल्प-साध्यम्,माला तु कल्प-साध्यम् वा द्वि-गुणम् षोडश-अङ्गुलात्,कल्प-साध्यम्,T3,Tatpurusha
