Colling,Context,Components,Tag,labels
न-हैतुकम्,ईश्वरः वा पाषाण-दारु-आदि-मात्रम् इत्येवम् कस्मिन् कार्ये सक्तम् न-हैतुकम् हेतु-वर्जितम् निर्युक्तिकम् न-तत्त्व-अर्थ वत् न-यथा-भूत-अर्थ वत्,न-हैतुकम्,Tn,Tatpurusha
सम-दर्शनम्,आत्मन्-वस्तु व्योमवत् निरन्तरम् इत्यर्थः तत् ज्ञानम् साक्षात् सम्यक्-दर्शनम् अद्वैत-आत्मन्-विषयम् सात्त्विकम् विद्धि इति,सम्यक्-दर्शनम्,K1,Tatpurusha
रात्रि-छन्नः,सर्वथा शङ्कनीयः रात्रि-छन्नः पर-गृह-प्रवेशः,रात्रि-छन्नः,T7,Tatpurusha
क्षीण-आयुषः,स्वीयं कलत्रम् अपत्यं च स्मृत्वा असौ अन्तरित-उदरः क्षीण-कायः जीर्ण-चीवरः विना प्रति-वादम् एव दुःख-आर्त-मनसा अस्मान्,क्षीण-कायः,Bs6,Bahuvrihi
पाणि-तले,त्रिधा पाणि-तले मृत्स्नाम् दिक्-बन्धम् सिंह-जप्ततः,पाणि-तले,T6,Tatpurusha
यथा-वत्,स्वे स्वे स्थाने यथा-स्वं च स्थान-अर्थः उपदेक्ष्यते,यथा-स्वं,A1,Avyayibhava
कतिपय-कलाभिः,कतिपय-कलाभिः एव अनेक-द्वाराणि समुल्लङ्घमान: सः राजन्-सभायाम् प्रविष्ट:,कतिपय-कलाभिः,K1,Tatpurusha
हेतु-व्यञ्जनैः,ते पुनः यथा-स्वं हेतु-व्यञ्जनैः आदौ उपलभ्यन्ते निज-व्यञ्जन-एकदेश-विपरीतैः बन्ध-मन्त्र-अगद-प्रलेप-प्रताप-निर्वापण-आदिभिः च उपक्रमैः,हेतु-व्यञ्जनैः,T6,Tatpurusha
स-लक्ष्मणः,कृत्वा नत्वा च कौशल्याम् समाश्वास्य स-लक्ष्मणः,स-लक्ष्मणः,Bvs,Bahuvrihi
बहु-मूल्य,भवता कदापि धनिक-गृहे कार्यम् न कृतम् ते बहु-मूल्य कम् एव वस्त्रम् धरन्ति,बहु-मूल्य,Bs6,Bahuvrihi
स-वरुणाः,एतत् अपि मया कर्तव्यम् आसीत् अहो अ-करुणाः खलु ईश्वराः,अ-करुणाः,Bsmn,Bahuvrihi
छिन्न-द्वैधा,छिन्न-द्वैधा यत-आत्मानः सर्व-भूत-हिते रताः,छिन्न-द्वैधा,Bs3,Bahuvrihi
निर्-आतङ्क,निर्-आतङ्क उद्विग्नाः भूत्वा एकदा ते व्यचारयन् यदि,निर्-आतङ्क,Bvp,Bahuvrihi
न-भेदेन,सर्व-भूतानि न-भेदेन सः ददर्श तदा आत्मनः,न-भेदेन,Tn,Tatpurusha
पञ्च-मुखः,स्वप्ने तया पञ्च-मुखः सर्पः दृष्टः,पञ्च-मुखः,Bs6,Bahuvrihi
शित-धारैः,विज्ञापन-कार्यालये कार्यं कृतवान् तत्र न एकैः कला-कारैः चित्र-कारैः च सह तस्य परिचयः जातः,चित्र-कारैः,U,Tatpurusha
अ-गदाः,भगवन् हित-समाख्यातम् अपि आहारम् उपयुञ्जानाः व्याधिमन्तः च अ-गदाः च तथा एव अ-हित-समाख्यातम् एवं दृष्टे,अ-गदाः,Bsmn,Bahuvrihi
द्यावा-पृथिव्यौ,केशवप्रसादस्य अनुरोधेन सामन्-गतैः विद्वद्भिः चाटु-प्रवीणै रामदयालो प्रशंसायाम् द्यावा-पृथिव्यौ एकीकृते,द्यावा-पृथिव्यौ,Di,Dvandva
अन्-उचिते,लक्ष्य-हीनः भवान् न-उचिते कार्ये मग्नः इति भाति मम,न-उचिते,Tn,Tatpurusha
पति-व्रतानाम्,अन्यासां पति-व्रतानां का गतिः,पति-व्रतानां,T7,Tatpurusha
परम-ईश्वर,ज्ञान-आत्म-कं प्र-पश्यन्ति त्वत्-रूपं परम-ईश्वर,परम-ईश्वर,K1,Tatpurusha
चक्र-आयुधः,चक्र-आयुधः हे भोः,चक्र-आयुधः,Bs6,Bahuvrihi
दश-सहस्रम्,सहस्रम् मुद्राः दत्त्वा ताम् भूमिम् क्रीत्वा सः दश-सहस्रम् मुद्राम् प्राप्तवान् इति,दश-सहस्रम्,Bss,Bahuvrihi
परिनिष्ठित-कर्माणः,भगवान् उवाच-ये इमे कुलीनाः पर्यवदात-श्रुताः परिदृष्ट-कर्माणः दक्षाः शुचयः जित-हस्ताः जित-आत्मानः सर्व-उपकरण वन्तः,परिदृष्ट-कर्माणः,Bs3,Bahuvrihi
जल-तैलयोः,जल-तैलयोः इव मेलनम् आवयो:,जल-तैलयोः,Di,Dvandva
भूरि-क्लिन्न,एवम् आदि चिन्तयमानाया बुधन्या: कपोल-मण्डल-द्वयम् प्रति-निशम् एव भूरि-क्लिन्न ताम् उपयाति स्म,भूरि-क्लिन्न,A1,Avyayibhava
सर्व-आमिषं,इति सर्व-काम अमृतत्वम् उक्तम् तत् प्रसिद्धम्,सर्व-काम,K1,Tatpurusha
अ-परिसंख्येयत्वात्,अपि हि एषाम् आश्रय-आदीनां भावानां विशेषान् आश्रयते अ-परिसंख्येयत्वात्,अ-परिसंख्येयत्वात्,Tn,Tatpurusha
निर्-भयम्,च सम्प्रति मुक्तः अहम् अस्मि इतः प्रभृति निर्-भयम् इदम् वनम् भवेत् इति,निर्-भयम्,Bvp,Bahuvrihi
विद्या-आलये,ततः विद्या-आलये पठतः तस्य स्नेहितस्य गृहं गतवान् यः,विद्या-आलये,T6,Tatpurusha
पञ्च-तत्वम्,कमला नाम मज्जायेत: षट्-मास-पूर्वम् एव पञ्च-तत्वम् गता अभूत्,पञ्च-तत्वम्,Tds,Tatpurusha
आय-व्ययौ,ततः च श्रेष्ठिन्-वर्य: नैजम् व्यवस्थापकम् आय-व्यय मुनीम इति भाषायाम् बुद्धिमल्लम् आहूय मन्त्रणाम्,आय-व्यय,Di,Dvandva
अ-शुभं,निवारयन्तः निवेदयामासुः यत् एक-हायन-अवधि आक्रमणम् अकृत्वा समुपनतम् न-शुभं निवारणीयम्,न-शुभं,Tn,Tatpurusha
न-शक्ताः,सर्व-दिग्भ्यः महत्-रथिनः शर-वर्षेण अपि तं विद्धं कर्तुम् न-शक्ताः अभवन्,न-शक्ताः,Tn,Tatpurusha
स-अम्ला,गव्य-मांसरसैः स-अम्ला विषमज्वर-नाशिनी,स-अम्ला,BvS,Bahuvrihi
स्वर्ग-काङ्क्षिणः,देवाः अपि अस्य मम रूपस्य नित्यम् सर्वदा दर्शन-काङ्क्षिणः दर्शन-ईप्सवः अपि न त्वम् इव दृष्टवन्तः,दर्शन-काङ्क्षिणः,U,Tatpurusha
सर्व-सुखस्य,मर्तीन्का-माता स्व-सुतस्य कौशलम् विलोक्य भृशम् तुष्टा सञ्जाता,स्व-सुतस्य,T6,Tatpurusha
वात-श्लेष्मणि,वात-श्लेष्म कटु-ऊष्णं दीपनं लघु,वात-श्लेष्म,Di,Dvandva
उप-सेवन्ते,तस्मिन् एव उप-वने एकम् उत्तुङ्गं शिखरम् आसीत्,उप-वने,A1,Avyayibhava
स्थिर-बुद्धयः,स्थिर-बुद्धिः अस्मा न शक्या निश्चयात् चालयितुम् इति,स्थिर-बुद्धिः,K1,Tatpurusha
न-दृश्यः,विद्याधरः-एतत् अङ्गुलीयकम् दक्षिण-अङ्गुल्या धारयन् न-दृश्यः भवति वामेन प्रकृति-स्थः,न-दृश्यः,K1,Tatpurusha
दिन-मणि,क्लान्तकूजत्कपोतकुक्कुटादिपतत्रिण: स्व-स्व-कुलायान् सान्द्र-विटप-गतान् समाश्रयन् दिन-मणि: प्रतीचीम् सञ्जिगमिषुः प्रसारित-कोमल-करैः मार्दवम् भेजे,दिन-मणि:,T6,Tatpurusha
गुण-कर्माणि,द्रव्यं मानं च विज्ञाय गुण-कर्माणि च आदिशेत्,गुण-कर्माणि,Di,Dvandva
कुटी-स्वामी,तत्र कुटी-स्वामी तम् आश्वासयत्,कुटी-स्वामी,T6,Tatpurusha
बालक-बालिका,वैदुष्येण सन्तुष्ट: शिक्षा-विभाग: तस्मै स्वकीये एव ग्रामे बालक-बालिका: शिक्षयितुम् विद्यालये शिक्षक-पदे नियुक्तिम् दत्तवान् आसीत्,बालक-बालिका:,Di,Dvandva
न-उपस्थितौ,सः स्वसमुद्र-यात्रायाः प्राक् न-उपस्थितौ गृह-व्ययाय नाचम्मायै आवश्यकम् अर्थं दत्त्वा गच्छति,न-उपस्थितौ,Tn,Tatpurusha
अभि-गतः,माम् अपि परित्यज्य पितामहम् द्रष्टुम् आशया स्वर्गम् अभि-गतः असि,अभि-गतः,Tg,Tatpurusha
भूरि-दक्षिणः,यज्ञान् प्रवर्तयितुम् आहूताः ऋषयः भूरि-दक्षिणां प्राप्नुवन्ति स्म,भूरि-दक्षिणां,K1,Tatpurusha
खड्ग-भल्लूकाः,अधः स्थिताः खड्ग-वलयाः यम-पाशाः इव अभासन्त,खड्ग-वलयाः,T6,Tatpurusha
सर्व-शून्या,मूर्खस्य च दिशः शून्याः सर्व-शून्या दरिद्रता,सर्व-शून्या,K1,Tatpurusha
विषय-अन्ते,चेतः तेन चेतसा न अन्य-गामिना न अन्यत्र विषय-अन्तरे गन्तुम् शीलम् अस्य इति न अन्य-गामि,विषय-अन्तरे,Tm,Tatpurusha
न-शक्ताः,अवदत् महत्-राज ते यक्षाः मन्दिरे शिव-लिङ्ग-प्रतिष्ठापनम् कर्तुम् न-शक्ताः आसन्,न-शक्ताः,Tn,Tatpurusha
सर्व-वर्णान्,लोकान् च सर्व-वर्णानां सम्यक् धर्म-अनुपालिनाम्,सर्व-वर्णानां,K1,Tatpurusha
न-दृश्यः,अन्तर्धान-कार्य मात्रम् अङ्गुलीयकम् दत्तम् यत् दक्षिण-अङ्गुल्या धारयन् न-दृश्यः भवति वामेन प्रकृति-स्थः च,न-दृश्यः,Tn,Tatpurusha
गुप्त-दानम्,कथान्ते व्यास: कथयति गुप्त-दानम् महत्-पुण्यम्,गुप्त-दानम्,K1,Tatpurusha
महत्-राजः,राजन्-सभायाम् आवश्यकं कार्य-जातं निर्वर्त्य मध्याह्ने महत्-राजः भोजन-अर्थं भोजन-कक्षं प्राप,महत्-राजः,K1,Tatpurusha
शीत-उष्णा,न न-सतः न-विद्यमानस्य शीत-उष्ण स-कारणस्य न विद्यते न अस्ति भावः,शीत-उष्ण,Di,Dvandva
रत्न-व्यवसायी,दस्यु-राजे निर्गते रत्न-व्यवसायी किम् अकरोत्,रत्न-व्यवसायी,T6,Tatpurusha
पिपासा-निग्रहात्,जठरे वात-जाः च अन्ये रोगाः स्युः वात-निग्रहात्,वात-निग्रहात्,T6,Tatpurusha
अनल-तप्तम्,तप्त-कार्त-स्वर: इव तपः अनल-तप्तम् मानव-हृदयम् निर्-मल्यम् उपैति,अनल-तप्तम्,T3,Tatpurusha
महत्-राजः,महत्-राजः गम्भीर-मुद्रां धारयन् उवाच न इदम् इदं,महत्-राजः,K1,Tatpurusha
यथा-पूर्वम्,गत्वा शाखायाम् लम्बमानम् शवम् स्वस्य स्कन्धे आरोप्य यथा-पूर्वम् मौनेन श्मशान-अभिमुखम् प्रस्थितवान्,यथा-पूर्वम्,A1,Avyayibhava
पुराण-पण्डितानाम्,स्त्री-शूद्र-द्विजबन्धूनाम् त्रयी न श्रुति-गोचरा इति-आदि: पुराण-पण्डितानाम् प्राचीन-विचारात् न ते अभ्यरोचयन्,पुराण-पण्डितानाम्,Bs6,Bahuvrihi
न-पारयन्त्या,गाढ-सुप्तम् एव राजानम् अवधार्य परायत्तम् चेत वशयितुम् न-पारयन्त्या समुत्थितम् एव,न-पारयन्त्या,Tn,Tatpurusha
कोप-मिश्रितेन,निमित्तम् एव विकृतघ्नः-नामकम् पदम् सृष्टम् अस्ति इति कोप-मिश्रितेन स्वरेण उक्त्वा खेदेन तत: निर्गतवती अनुपमा,कोप-मिश्रितेन,T3,Tatpurusha
स-कुशलं,सर्वेषु सिंहेषु निर्गतेषु श्यामः अपि वृक्षात् अवतीर्य स-कुशलं गृहं प्रत्यागच्छत् इति,स-कुशलं,BvS,Bahuvrihi
श्वास-उच्छ्वासौ,चक्षुषी विस्फारिते श्वास-उच्छ्वासौ वेगितौ वह्निशिखानाम् शोणिमा तत्-वदने वस्त्रेषु च,श्वास-उच्छ्वासौ,Di,Dvandva
तनु-गात्रि,वर-तनु तनु-गात्रि कान्त-नेत्रे,तनु-गात्रि,Bs6,Bahuvrihi
दोष-उदरे,पुरुष-अधः स्थितम् शल्यम् न गृहे दोष-दम् भवेत्,दोष-दम्,U,Tatpurusha
चन्द्र-मुखी,तथा अपि चन्द्र-मुखी निर्-उत्साहम् न प्राप्तवती,चन्द्र-मुखी,Bsu,Bahuvrihi
सर्व-विदितम्,इदं सर्व-विदितम् अस्ति,सर्व-विदितम्,T3,Tatpurusha
शोणित-आश्रयाः,विकाराः सर्वे एव एते विज्ञेयाः शोणित-आश्रयाः,शोणित-आश्रयाः,Bs6,Bahuvrihi
सान्त्व-पूर्वम्,महत्-कौशलम् कलितम् लेखकेन विशेषत: नायकस्य चरित्रम् तु न-पूर्वम् महनीयम् कल्पना अतीतम्,न-पूर्वम्,Tn,Tatpurusha
स-विनयं,अश्रूणि प्रोञ्छितुम् अवसरम् एकं ददातु महत्-राजः इति स-विनयं प्रार्थये इति,स-विनयं,BvS,Bahuvrihi
वि-लिखितुम्,अस्य आत्मा आवाहकस्य तथ्य-अन्वेषणम् विधाय पूर्णाम् कथाम् वि-लिखितुम् आवाम् आदिष्टौ स्व: स केवलम् अनेन,वि-लिखितुम्,Tp,Tatpurusha
द्वै-विध्यं,लोके अस्मिन् संसारे इत्यर्थः सर्वेषाम् द्वै-विध्य,द्वै-विध्य,Km,Tatpurusha
दृढ-आयुधः,दृढ-कायः सः पुनः गर्जितवान् किं लज्जां न,दृढ-कायः,K1,Tatpurusha
गुरु-प्रधानः,अनया घोषणया ग्राम-प्रधानः अन्ये च जनाः व्याकुलाः अभवन्,ग्राम-प्रधानः,T6,Tatpurusha
सम्-अक्षम्,प्रशंसन्ति तत्-कर्तृ त्वम् च अभिनन्दन्ति तथा तथा सम्-अक्षम् उपविष्टस्य तस्य वृद्धस्य नेत्रयोः उल्लास-प्रकाश-विलास: विद्योतते,सम्-अक्षम्,A1,Avyayibhava
योग-आत्मा,समावृतम् माम् लोकः न अभिजानाति न असौ योग-माया मदीया सती मम ईश्वरस्य मायाविनः ज्ञानम्,योग-माया,K6,Tatpurusha
अन्न-कणम्,मुखे च अन्न-कणम् आदाय गच्छति,अन्न-कणम्,T6,Tatpurusha
अल्प-चेतसः,साध्याः पित्त-उल्बणाः ताः तु संभवन्ति अल्प-मेदसः,अल्प-मेदसः,Bs7,Bahuvrihi
सुवर्ण-वर्णा,शीर्षेण अनुवन्द्य भणति नाटक-स्त्री वसन्तसेना नाम गणिका-दारिका सुवर्ण-वर्णा द्वाभ्याम् आवाभ्याम् बलात्-कारेण नीयमाना महता सुवर्ण-अलङ्कारेण,सुवर्ण-वर्णा,BvU,Bahuvrihi
वि-मुग्धाः,व्यवसायिनः कन्या तम् विलोक्य वि-मुग्धाः सञ्जाता सा इंगितेन युवानम् स्व-कक्षे आकारयामास,वि-मुग्धाः,Tp,Tatpurusha
महत्-राजः,शङ्कुकर्ण-यद् आज्ञापयति महत्-राजः निष्क्रान्तः,महत्-राजः,K1,Tatpurusha
प्रति-वर्षम्,प्रति-वर्षम् वर्षा ऋतु आयाति,प्रति-वर्षम्,A1,Avyayibhava
अ-तिथि,भावी राजा दिनम् यावत् अ-तिथि त्वेन सत्कृतः इति एषाम् तृप्तिः एव,अ-तिथि,Bsmn,Bahuvrihi
कफ-आत्मकः,निपीडितः न उन्नमति श्वयथुः सः कफ-आत्मकः,कफ-आत्मकः,Bs6,Bahuvrihi
उप-ईक्षितव्यः,बालकः कारागारे प्र-क्षिप्तः किन्तु तत्र वाम-नासिका त: च अग्निः,प्र-क्षिप्तः,Tp,Tatpurusha
आप्त-किरीटिनम्,एषः रंगनाथः आप्त-मित्रम् आचार्य-उत्तमः श्रीमान् रामचंद्रमहत्-उदयः मम गुरुः इति,आप्त-मित्रम्,K1,Tatpurusha
इति-आदि,केवलम् दशवर्षदेश्या अभूत् रात्रौ स्वप्ने अपि जबगडदश् इति-आदि मया कतिशः निवारिता,इति-आदि,Bs6,Bahuvrihi
स-अध्वसम्,न-भूत-पूर्वाम् इमाम् घटनाम् दृष्ट्वा स-अध्वसम् इव चेतसि तस्य संजातम्,स-अध्वसम्,Bvp,Bahuvrihi
अन्-अघ!,सुख-सङ्गेन बध्नाति ज्ञान-सङ्गेन च न-अघ,न-अघ,Tn,Tatpurusha
चम्पा-अभिधाम्,अनुरोध-निर्बन्ध-आदिभि: समुद्विग्न: सन् सुखरामः तत्-प्रीति-अर्थम् स्व-कार्यालय-सह-चरीम् काञ्चित् चम्पा-अभिधाम् परिणीय गृहम् आनिनाय,चम्पा-अभिधाम्,Bs6,Bahuvrihi
भगवत्-विषयकः,कष्ट-कारण तः धनपालस्य पत्नी-पुत्रेषु भगवत्-विषयकः विश्वासः अपगतः,भगवत्-विषयकः,T6,Tatpurusha
ज्ञान-प्लवं,सर्वम् ज्ञान-प्लवेन एव वृजिनं सम् तरिष्यसि,ज्ञान-प्लवेन,K1,Tatpurusha
अभ्युत्थान-अभिवादाभ्यां,अयम् तपस्वी ब्राह्मणः इत्येवम् अर्थम् मानः माननम् प्रत्युत्थान-अभिवादन तद्-अर्थम् पूजा पाद-प्रक्षालन-अर्चन-न-शयितृ त्व-आदिः तद्-अर्थम् च,प्रत्युत्थान-अभिवादन,Di,Dvandva
उत्तर-अवरे,रुदती सा मुखं उत्तरीय-वस्त्रे निलीय स्थिता,उत्तरीय-वस्त्रे,T6,Tatpurusha
विचार-विमर्शम्,चिन्तितः राजा तत्कालम् एव मन्त्रिन्-मण्डलम् आहूय विचार-विमर्शम् अकरोत्,विचार-विमर्शम्,Ds,Dvandva
नव-विधः,प्रियं-वद: प्रसन्न-वदन: वाक्-पटुः अति-चतुर: संस्कृत-विद्या-अध्ययनम् विहाय इतरेषु सर्व-विध न-बाह्य: गुरु-मुख-लग्नः तत्-भाल-दर्शी दूर-दर्शी पिशुनः च,सर्व-विध,Bs6,Bahuvrihi
ताम्र-आस्यः,राजा नवीनवर्मा भैरवम् असूयत् यत् भवान् अपि ताम्र-आसने उपविशतु इति,ताम्र-आसने,T6,Tatpurusha
स्व-पुत्रं,रत्नाम्बा दरिद्रा अपि स्व-पुत्रं प्रति-दिनं विद्या-आलयं गन्तुं सम्यक् पाठं पठितुं,स्व-पुत्रं,T6,Tatpurusha
मात्रा-कालौ,पञ्च कर्माणि कुर्वीत मात्रा-कालौ विचारयन्,मात्रा-कालौ,Di,Dvandva
दृढ-आयुधः,दृढ-कायः क्षीण-कायम् कण्ठे गृहीत्वा प्रहरन् आसीत्,दृढ-कायः,Bs6,Bahuvrihi
न-शेषतः,परम-अर्थः हि कार्याणि कारणानाम् न-शेषतः,न-शेषतः,Tn,Tatpurusha
ब्रह्म-उज्झः,दैवम् रूपम् ब्रह्म-जम् तस्य वाक्यम्,ब्रह्म-जम्,U,Tatpurusha
गमन-समये,सा गमन-समये नीलाम्बायाः पुत्रान् आहूय एकां कुञ्चिकां दत्त्वा,गमन-समये,T6,Tatpurusha
अ-सम्बद्धम्,न अभिलषति न रमते गोष्ठी-जनेन दीर्घम् निःश्वसिति अ-सम्बद्धम् कथयति कथितम् न जानाति गूढम् हसति,अ-सम्बद्धम्,Tn,Tatpurusha
चिन्ता-आकुल,चिन्ता-आकुल: पुन: पठति भवताम् पुत्रः अत्र परम्,चिन्ता-आकुल:,T3,Tatpurusha
अन्-अवस्थितम्,वा अस्य कानि कथं च एनम् अ-सङ्घातवन्तम् अन्-अवस्थितम् अन्-आसाद्य प्रकोपण-प्रशमनानि प्रकोपयन्ति प्रशमयन्ति वा कानि,अन्-अवस्थितम्,Tn,Tatpurusha
बहु-स्वर्णम्,बहु-स्वर्णम् राजसूयम् न सेहे तम् सुयोधनः,बहु-स्वर्णम्,Bs7,Bahuvrihi
न-स्वस्थः,किन्तु तत्र मथुरायां कंसः न-स्वस्थः आसीत्,न-स्वस्थः,Tn,Tatpurusha
सोम-वायव्याः,व्रीहयः स-यवाः माषाः गोधूमाः च अणवः तिलाः,स-यवाः,BvS,Bahuvrihi
यज्ञ-शीलाः,मिथिला-नगर्याः न-अतिदूरे स्थिता यज्ञ-शाला कुत्र अस्ति इति जनेभ्यः विदित्वा तया,यज्ञ-शाला,T6,Tatpurusha
पर-अवरौ,तुष्टाव वाग्भिः इष्टाभिः पर-अवर हरिम्,पर-अवर,Di,Dvandva
कृष्ण-वर्णम्,काष्ठ-मंजूषा त: वधूम् आभूषणानि न निष्कास्य तस्मिन् कृष्ण-वर्णम् एकम् वानरम् क्षिप्तवान्,कृष्ण-वर्णम्,Bs6,Bahuvrihi
प्राचीन-परम्परासु,एव अहितम् किन्तु एव विधै: प्रतारणैः अस्माकम् प्राचीन-परम्परासु मान्यतासु धर्मे आत्मन्-सिद्धान्ते दर्शने शास्त्रेषु च,प्राचीन-परम्परासु,K1,Tatpurusha
नियत-आत्मा,नियतम् नियत-आत्मा रूपम् एतद् गृहीत्वा खर-वध-कृत-वैरं राघवं वञ्चयित्वा,नियत-आत्मा,K1,Tatpurusha
त्रि-दिवस,त्रि-दिवस प्रत्यागन्तुं स्व-पत्नीं नाचम्मां प्रतिश्रुत्य स गतवानासीत्,त्रि-दिवस,K1,Tatpurusha
न-उपमं,अभिमन्योः न-उपमं शर-सन्धानं दृष्ट्वा द्रोणः विस्मितः अभवत्,न-उपमं,Bs6,Bahuvrihi
उपतिष्ठ-मानाः,लज्जित सन् स्व-स्थानम् प्रत्यागत चिन्तयितुम् प्रारब्ध साधनायाम् उपतिष्ठ-मानाः चित्त-विक्षेपा मया न विजिता,उपतिष्ठ-मानाः,Bv,Bahuvrihi
स-स्मितम्,च भिषक् वरा काचित् वरिष्ठा बहिः आगत्य स-स्मितम् प्रावदत् भो सुखराम परिपक्व-गर्भा ते भार्या,स-स्मितम्,BvS,Bahuvrihi
न्याय-प्रिय,प्रजाः मंत्रिणः बुद्धिमत्ताम् न्याय-प्रिय ताम् च विलोक्य भृशम् प्रहर्षिताः,न्याय-प्रिय,Bvs,Bahuvrihi
कर्पूर-द्वीपः,तदा चित्रवर्णेन प्रसादितेन उक्तम् अयम् मेघवर्णः अत्र कर्पूर-द्वीप अभिषिच्यताम्,कर्पूर-द्वीप,T6,Tatpurusha
कृत-प्रयत्न,च हिंसाया अन्यायस्य च प्रबल-प्रतिरोध कः तत्-उन्मूलनाय कृत-प्रयत्न आसीत्,कृत-प्रयत्न,Bs3,Bahuvrihi
स्थूल-पिण्डिकाः,विरूढधानाः शष्कुल्यः मधुक्रोडाः स-पिण्डकाः,स-पिण्डकाः,BvS,Bahuvrihi
महत्-महद्भिः,जर्मनी पाश्चात्य-देश ईयैः र्विद्वद्भि: कृतम् तद्-अनन्तरम् एव महत्-महद्भिः मुखैः भारतीयाः तथा-कथिताः विद्वांसः अपि वेदानाम्,महत्-महद्भिः,D,Dvandva
वेद-वादेषु,वेद-वाद-रताः बहु-अर्थ-वाद-फल-साधन-प्रकाशकेषु वेद-वाक्येषु रताः हे पार्थ न अन्यत् स्वर्ग-पशु-आदि-फल-साधनेभ्यः,वेद-वाक्येषु,T6,Tatpurusha
निर्-धन,उभे अपि मातु: निर्-धन तया कन्या-विनिमय-कल्पे न-योग्य-पाणि-पतिते न-काले एव दिवम्,निर्-धन,Bvp,Bahuvrihi
दिग्ध-अङ्गः,गुरू-ऊष्ण-वासा दिग्ध-अङ्गः गुरुणा अगुरुणा सदा,दिग्ध-अङ्गः,Bs6,Bahuvrihi
रुधिर-उक्षितम्,रुधिर-कलित स्रस्त-संरक्त-नेत्रः,रुधिर-कलित,T3,Tatpurusha
वेद-आदिना,गात्रम् वेद-आदिना मन्त्रैः सम्मार्ज्य आराध्य मूर्त्तिना,वेद-आदिना,Bs6,Bahuvrihi
स-विस्मयं,पुत्रः न भविता पुत्रस्य तर्कं श्रुत्वा पिता स-विस्मयं निरुत्तरः आसीत् इति,स-विस्मयं,BvS,Bahuvrihi
मन्द-स्वरेण,न कापि आवश्यकता स्यात् तत्र गमनस्य रामनाथः मन्द-स्वरेण अवदत्,मन्द-स्वरेण,K1,Tatpurusha
महत्-राजः,महत्-राजः दुर्गं प्राप्तः,महत्-राजः,K1,Tatpurusha
बहु-कालं,बहु-कालं यावत् परस्परम् आलिङ्ग्य स्थितवन्तौ तौ,बहु-कालं,K1,Tatpurusha
मध्ये-मार्गम्,मध्ये-मार्गम् महती वृष्टिः आरब्धा,मध्ये-मार्गम्,A7,Avyayibhava
नियति-दौर्बल्यम्,ग्लानिम् इन्द्रिय-दौर्बल्यं तृष्णां मूर्च्छां क्रिया-क्षयम्,इन्द्रिय-दौर्बल्यं,T6,Tatpurusha
सर्व-ईश्वरः,सन्ततिं मातृ-हीनां न कुर्यात् सर्व-ईश्वरः क्वचित्,सर्व-ईश्वरः,T6,Tatpurusha
स-रभसम्,पान्थस्य गुरु-काय स-रभसम् भूमौ न्यपतत्,स-रभसम्,K1,Tatpurusha
मध्ये-प्रवाहम्,अथ परित्यज्य तस्याः चेला-अञ्चलम् स पिशाच मध्ये-प्रवाहम् विलीन भवन् ददृशे,मध्ये-प्रवाहम्,A7,Avyayibhava
मह-आत्मनः,सः दूर-दूरात् साधून् महत्-आत्मनः आहूय तेभ्यः ज्ञान-उपदेशं शृणोति स्म तान्,महत्-आत्मनः,Bs6,Bahuvrihi
न-अहङ्कारः,कौञ्जायनः-अथ कश्चित् दर्शनीयः अपि न-विस्मितः तरुणः अपि न-अहङ्कारः शूरः अपि दाक्षिण्यवान् सुकुमारः अपि बलवान्,न-अहङ्कारः,Bsmn,Bahuvrihi
न-व्यक्तात्,नारायणः परः न-व्यक्तात् अण्डम् न-व्यक्त-सम्भवम्,न-व्यक्तात्,Tn,Tatpurusha
चिकित्सा-आलयम्,यम् तस्य पुत्राः चिकित्सा-अर्थम् चिकित्सा-आलयम् नयन्ति स्म,चिकित्सा-आलयम्,T6,Tatpurusha
न-सत्,न-आदिमत् परं ब्रह्म न सत् तन् न न-सत् उच्यते,न-सत्,Tn,Tatpurusha
प्रति-दिनं,कहोडः अवदत् सुजाते चिन्ता मां प्रति-दिनं बाधते,प्रति-दिनं,A1,Avyayibhava
उग्र-आचाराः,वि-कृत-वपुषः अपि उग्र-आचाराः घृणा न तु वर्जिता,उग्र-आचाराः,Bs6,Bahuvrihi
स्थिर-आसने,सिञ्चन् नयेत् ततः कुम्भम् पूजयेत् च स्थिर-आसने,स्थिर-आसने,K1,Tatpurusha
साधु-कर्मणाम्,अपि उपचारैः जीवेयुः तदा को वा देयादेभ्य: स्व-कर्मणाम् फलम्,स्व-कर्मणाम्,T6,Tatpurusha
मरुत्तर-शकटि,अनेन न लब्धः यदा केनचन सूचितम् यत् मरुत्तर-शकटि: कलाकारान् स्व-स्व-गृहान् प्रापयितुम् प्रतीक्षते चाय-पानम् सम्-आप्य,मरुत्तर-शकटि:,K7,Tatpurusha
आदि-अन्तौ,आदि-अन्तौ अन्तः कौन्तेय न तेषु रमते बुधः,आदि-अन्तौ,Di,Dvandva
युक्ति-युक्तं,तस्मात् संशोधनं काले युक्ति-युक्तं पिबेत् नरः,युक्ति-युक्तं,T3,Tatpurusha
शारद्वत-आदयः,न तर्हि आर्त-आदयः त्रयः वासुदेवस्य प्रियाः न किम् तर्हि,आर्त-आदयः,Bs6,Bahuvrihi
